UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Machine failure
94,M00094,L,299.69,307.11,1712.0,42.45,218,0,0,0,0,0,0
95,M00095,L,302.91,313.44,1536.0,50.64,243,1,0,0,0,0,1
96,M00096,M,299.09,310.55,1945.0,33.48,125,0,0,0,0,0,0
97,M00097,L,302.26,310.76,1531.0,33.72,131,0,0,0,0,0,0
98,M00098,L,298.71,309.38,1448.0,41.81,13,0,0,0,0,0,0
99,M00099,L,299.88,309.65,1501.0,44.15,58,0,0,0,0,0,0
100,M00100,H,297.86,311.93,1546.0,31.76,9,0,0,0,0,0,0
101,M00101,H,300.91,309.94,1578.0,39.25,214,0,0,0,0,0,0
102,M00102,M,302.89,311.06,1874.0,39.06,56,0,0,0,0,0,0
103,M00103,L,299.85,309.61,1348.0,17.85,85,0,0,0,0,0,0
104,M00104,H,299.61,309.32,1655.0,37.8,210,0,0,0,0,0,0
105,M00105,M,297.77,307.19,1537.0,38.43,178,0,0,0,0,0,0
106,M00106,M,299.54,306.04,1217.0,38.4,155,0,0,0,0,0,0
107,M00107,L,296.81,309.48,1639.0,54.16,9,0,0,1,0,0,1
108,M00108,L,298.17,310.11,1728.0,27.84,140,0,0,0,0,0,0
109,M00109,L,300.45,307.43,1346.0,31.75,140,0,0,0,0,0,0
110,M00110,H,302.64,309.93,1498.0,13.88,79,0,0,0,0,0,0
111,M00111,L,305.62,310.11,1189.0,35.19,186,0,0,0,0,0,0
112,M00112,L,298.83,305.69,1273.0,36.04,232,1,0,0,0,0,1
113,M00113,L,302.87,308.17,1689.0,34.9,64,0,0,0,0,0,0
114,M00114,M,300.49,310.81,1416.0,51.08,82,0,0,0,0,0,0
115,M00115,L,299.7,310.77,1300.0,48.61,80,0,0,0,0,0,0
116,M00116,H,300.87,307.69,1541.0,40.78,208,0,0,0,0,0,0
117,M00117,M,300.12,310.32,1406.0,36.29,19,0,0,0,0,0,0
118,M00118,M,300.22,312.04,1415.0,50.26,223,1,0,0,0,0,1
119,M00119,L,299.18,311.55,1633.0,39.8,193,0,0,0,0,0,0
120,M00120,M,297.2,309.81,1291.0,31.82,120,0,0,0,0,0,0
121,M00121,M,296.91,309.06,1337.0,22.84,145,0,0,0,0,0,0
122,M00122,M,301.31,308.74,1528.0,35.59,223,1,0,0,0,0,1
123,M00123,L,299.45,310.94,1674.0,47.55,192,0,0,0,0,0,0
124,M00124,L,298.81,310.39,1723.0,62.77,69,0,0,1,0,0,1
125,M00125,L,300.02,311.26,1380.0,40.62,12,0,0,0,0,0,0
126,M00126,L,301.59,310.26,1669.0,32.35,164,0,0,0,0,0,0
127,M00127,L,300.36,311.64,1359.0,28.15,36,0,0,0,0,0,0
128,M00128,L,298.69,310.19,1829.0,45.52,21,0,0,1,0,0,1
129,M00129,L,302.45,311.57,1296.0,22.35,245,1,0,0,0,0,1
130,M00130,M,303.16,311.74,1739.0,45.5,118,0,0,0,0,0,0
131,M00131,L,300.99,308.39,1382.0,48.18,162,0,0,0,0,0,0
132,M00132,H,301.95,306.38,1862.0,44.36,54,0,0,1,0,0,1
133,M00133,M,302.48,313.09,1606.0,37.8,25,0,0,0,0,0,0
134,M00134,L,302.26,310.51,1317.0,45.65,15,0,0,0,0,0,0
135,M00135,M,301.23,306.57,1406.0,41.71,88,0,0,0,0,0,0
136,M00136,L,301.2,308.57,1641.0,32.22,0,0,0,0,0,0,0
137,M00137,H,301.04,311.54,1689.0,58.5,105,0,0,1,0,0,1
138,M00138,L,297.81,309.44,1487.0,36.48,81,0,0,0,0,0,0
139,M00139,M,301.4,308.98,1508.0,47.76,131,0,0,0,0,0,0
140,M00140,L,297.29,312.8,1637.0,15.81,147,0,0,0,0,0,0
141,M00141,L,298.41,307.91,1524.0,52.76,77,0,0,1,0,0,1
142,M00142,L,302.61,308.4,1267.0,54.69,113,0,0,0,0,0,0
143,M00143,H,301.68,310.42,1354.0,40.3,19,0,0,0,0,0,0
144,M00144,M,302.97,310.78,1542.0,45.59,75,0,0,0,0,0,0
145,M00145,L,299.46,310.99,1719.0,45.59,244,1,0,0,0,0,1
146,M00146,L,297.7,311.82,1791.0,33.57,247,1,0,0,0,0,1
147,M00147,L,299.52,310.4,1640.0,45.47,121,0,0,0,0,0,0
148,M00148,M,300.2,310.98,1552.0,31.91,234,1,0,0,0,0,1
149,M00149,L,300.16,309.48,1635.0,33.91,125,0,0,0,0,0,0
150,M00150,L,302.27,310.13,1380.0,51.27,31,0,0,0,0,0,0
151,M00151,H,299.28,310.22,1472.0,49.75,216,0,0,0,0,0,0
152,M00152,H,300.7,310.43,1352.0,32.94,103,0,0,0,0,0,0
153,M00153,L,298.02,311.55,1275.0,32.66,153,0,0,0,0,0,0
154,M00154,M,300.9,311.11,1560.0,33.54,162,0,0,0,0,0,0
155,M00155,L,300.01,310.09,1533.0,47.33,77,0,0,0,0,0,0
156,M00156,M,298.5,308.38,1624.0,30.0,183,0,0,0,0,0,0
157,M00157,L,299.53,310.14,1598.0,43.57,125,0,0,0,0,0,0
158,M00158,M,299.63,309.94,1544.0,47.47,91,0,0,0,0,0,0
159,M00159,M,299.46,310.39,1600.0,39.12,74,0,0,0,0,0,0
160,M00160,M,303.54,314.41,1492.0,50.1,186,0,1,0,0,0,1
161,M00161,L,299.8,308.95,1574.0,36.96,62,0,0,0,0,0,0
162,M00162,H,299.51,310.84,1369.0,37.86,31,0,0,0,0,0,0
163,M00163,L,295.81,312.14,1567.0,30.23,220,0,0,0,0,0,0
164,M00164,L,298.21,310.2,1620.0,50.17,82,0,0,1,0,0,1
165,M00165,M,299.47,314.68,1379.0,32.33,160,0,0,0,0,0,0
166,M00166,L,298.63,309.24,1509.0,43.5,179,0,0,0,0,0,0
167,M00167,H,302.76,310.65,1388.0,39.29,209,0,0,0,0,0,0
168,M00168,H,299.67,308.4,1405.0,29.47,156,0,0,0,0,0,0
169,M00169,L,302.58,309.3,1298.0,33.91,176,0,0,0,0,0,0
170,M00170,H,300.12,310.5,1728.0,53.83,209,0,0,1,0,0,1
171,M00171,L,300.07,311.69,1692.0,42.02,235,1,0,0,0,0,1
172,M00172,M,299.82,310.64,1597.0,29.91,11,0,0,0,0,0,0
173,M00173,L,300.01,312.52,1855.0,43.05,185,0,0,0,0,0,0
174,M00174,H,303.44,309.81,1466.0,38.54,43,0,0,0,0,0,0
175,M00175,L,295.36,309.34,2046.0,74.54,222,1,0,1,1,0,1
176,M00176,L,296.0,315.41,1459.0,42.85,12,0,0,0,0,0,0
177,M00177,L,298.91,310.79,1546.0,36.19,61,0,0,0,0,0,0
178,M00178,H,300.03,308.56,1428.0,54.2,48,0,0,0,0,0,0
179,M00179,H,301.38,308.61,1567.0,21.59,150,0,0,0,0,0,0
180,M00180,M,300.95,308.11,1650.0,40.94,1,0,0,0,0,0,0
181,M00181,H,299.23,311.87,1479.0,59.94,4,0,0,1,0,0,1
182,M00182,H,302.04,309.27,1820.0,38.84,126,0,0,0,0,0,0
183,M00183,M,302.06,310.25,1543.0,22.67,242,1,0,0,0,0,1
184,M00184,L,300.37,309.87,1549.0,36.04,132,0,0,0,0,0,0
185,M00185,M,301.93,311.46,1336.0,54.55,111,0,0,0,0,0,0
186,M00186,M,300.55,308.31,1575.0,43.76,164,0,0,0,0,0,0
187,M00187,L,298.88,307.85,1476.0,31.61,137,0,0,0,0,0,0
188,M00188,L,301.4,310.45,1391.0,33.15,96,0,0,0,0,0,0
189,M00189,M,300.22,311.2,1360.0,34.4,147,0,0,0,0,0,0
190,M00190,L,300.0,310.67,1981.0,43.61,0,0,0,1,0,0,1
191,M00191,H,302.95,308.38,1453.0,53.38,61,0,0,0,0,0,0
192,M00192,L,295.1,311.35,1238.0,50.52,168,0,0,0,0,0,0
193,M00193,L,297.16,308.51,1374.0,44.56,85,0,0,0,0,0,0
194,M00194,H,297.63,308.96,1491.0,26.68,13,0,0,0,0,0,0
195,M00195,L,299.27,308.11,1598.0,26.72,31,0,0,0,0,0,0
196,M00196,L,299.49,312.6,1600.0,45.33,216,0,0,0,0,0,0
197,M00197,M,296.99,311.27,1622.0,26.55,82,0,0,0,0,0,0
198,M00198,H,298.03,311.21,1384.0,37.74,5,0,0,0,0,0,0
199,M00199,L,298.28,312.49,1561.0,43.04,182,0,0,0,0,0,0
200,M00200,L,304.91,315.63,1342.0,28.62,132,0,1,0,0,0,1
201,M00201,M,303.6,306.58,1388.0,29.76,112,0,0,0,0,0,0
202,M00202,H,299.18,308.52,1335.0,39.06,223,1,0,0,0,0,1
203,M00203,M,299.27,308.77,1286.0,45.04,78,0,0,0,0,0,0
204,M00204,L,297.7,308.3,1692.0,50.62,143,0,0,1,0,0,1
205,M00205,L,296.18,307.84,1624.0,46.07,186,0,0,0,0,0,0
206,M00206,L,299.77,309.4,1676.0,40.74,152,0,0,0,0,0,0
207,M00207,L,298.0,307.57,1507.0,32.54,51,0,0,0,0,0,0
208,M00208,M,299.83,310.67,1640.0,29.29,170,0,0,0,0,0,0
209,M00209,L,296.8,310.1,1183.0,34.89,185,0,0,0,0,0,0
210,M00210,M,298.48,310.96,1655.0,44.1,30,0,0,0,0,0,0
211,M00211,M,300.3,311.02,1532.0,43.37,41,0,0,0,0,0,0
212,M00212,M,300.73,311.21,1613.0,19.0,168,0,0,0,0,0,0
213,M00213,L,300.83,309.25,1568.0,32.14,29,0,0,0,0,0,0
214,M00214,H,297.36,314.24,1322.0,52.05,220,0,0,0,0,0,0
215,M00215,M,301.71,310.47,1230.0,40.79,27,0,0,0,0,0,0
216,M00216,M,298.4,306.28,1372.0,25.83,243,1,0,0,0,0,1
217,M00217,L,301.27,308.0,1602.0,63.56,167,0,0,1,0,0,1
218,M00218,L,299.98,306.52,1624.0,39.71,110,0,0,0,0,0,0
219,M00219,H,297.25,310.03,1254.0,43.84,67,0,0,0,0,0,0
220,M00220,L,299.37,309.76,1323.0,44.0,86,0,0,0,0,0,0
221,M00221,L,300.73,309.06,1370.0,36.32,187,0,0,0,0,0,0
222,M00222,L,301.23,314.02,1436.0,32.72,188,0,0,0,0,0,0
223,M00223,M,299.72,311.1,1255.0,61.22,52,0,0,0,0,0,0
224,M00224,H,303.06,311.45,1244.0,50.03,135,0,0,0,0,0,0
225,M00225,L,302.02,308.14,1352.0,48.22,248,1,0,0,0,0,1
226,M00226,H,299.49,308.0,1516.0,45.76,64,0,0,0,0,0,0
227,M00227,L,301.5,310.07,1287.0,29.97,173,0,0,0,0,0,0
228,M00228,M,303.87,310.35,1479.0,52.78,43,0,0,0,0,0,0
229,M00229,M,303.92,306.29,1691.0,31.57,208,0,0,0,0,0,0
230,M00230,L,297.54,309.64,1266.0,42.83,42,0,0,0,0,0,0
231,M00231,L,298.15,310.03,1463.0,23.61,74,0,0,0,0,0,0
232,M00232,L,302.97,309.57,1684.0,19.59,114,0,0,0,0,0,0
233,M00233,H,297.88,308.37,1425.0,43.18,92,0,0,0,0,0,0
234,M00234,M,297.35,308.92,1397.0,31.91,42,0,0,0,0,0,0
235,M00235,H,299.03,309.65,1709.0,20.11,160,0,0,0,0,0,0
236,M00236,H,300.84,310.18,1445.0,45.41,4,0,0,0,0,0,0
237,M00237,L,299.8,311.21,1699.0,61.2,245,1,0,1,1,0,1
238,M00238,M,298.7,312.16,1577.0,53.9,13,0,0,1,0,0,1
239,M00239,L,298.65,309.41,1438.0,37.43,83,0,0,0,0,0,0
240,M00240,L,298.58,309.09,1586.0,40.09,232,1,0,0,0,0,1
241,M00241,H,298.24,310.88,1558.0,48.88,38,0,0,0,0,0,0
242,M00242,M,304.56,311.22,1684.0,51.22,18,0,0,1,0,0,1
243,M00243,L,300.6,309.13,1401.0,36.56,185,0,0,0,0,0,0
244,M00244,M,301.77,311.58,1507.0,40.34,18,0,0,0,0,0,0
245,M00245,M,299.02,311.96,1489.0,43.01,224,1,0,0,0,0,1
246,M00246,H,299.63,312.58,1627.0,45.54,112,0,0,0,0,0,0
247,M00247,M,298.57,313.56,1315.0,38.67,217,0,0,0,0,0,0
248,M00248,L,294.7,308.27,1683.0,38.8,61,0,0,0,0,0,0
249,M00249,L,297.24,310.03,1584.0,53.8,35,0,0,1,0,0,1
250,M00250,L,296.38,310.02,1263.0,52.1,240,1,0,0,0,0,1
251,M00251,M,295.5,309.8,1717.0,44.77,190,0,0,0,0,0,0
252,M00252,H,297.61,308.7,1902.0,57.19,227,1,0,1,0,0,1
253,M00253,L,302.65,307.03,1680.0,36.14,79,0,0,0,0,0,0
254,M00254,L,299.91,310.19,1757.0,56.23,101,0,0,1,0,0,1
255,M00255,L,302.58,308.46,1515.0,45.43,144,0,0,0,0,0,0
256,M00256,M,300.82,310.17,1201.0,72.71,112,0,0,1,0,0,1
257,M00257,H,301.57,308.41,1168.0,28.08,60,0,0,0,0,0,0
258,M00258,L,298.2,307.8,1546.0,33.11,93,0,0,0,0,0,0
259,M00259,L,301.05,310.47,1393.0,44.19,152,0,0,0,0,0,0
260,M00260,M,301.46,310.3,1335.0,43.97,9,0,0,0,0,0,0
261,M00261,L,298.85,311.16,1489.0,59.5,83,0,0,1,0,0,1
262,M00262,H,301.12,314.37,1611.0,33.32,73,0,0,0,0,0,0
263,M00263,L,301.13,310.55,1239.0,49.05,17,0,0,0,0,0,0
264,M00264,L,298.9,310.97,1419.0,51.62,30,0,0,0,0,0,0
265,M00265,H,297.75,307.84,1772.0,47.05,123,0,0,1,0,0,1
266,M00266,L,297.63,307.43,1306.0,30.39,25,0,0,0,0,0,0
267,M00267,L,300.17,313.17,1657.0,54.08,86,0,0,1,0,0,1
268,M00268,L,300.65,308.15,1413.0,52.29,140,0,0,0,0,0,0
269,M00269,L,298.41,307.91,1598.0,46.0,218,0,0,0,0,0,0
270,M00270,L,300.05,309.92,1698.0,42.04,24,0,0,0,0,0,0
271,M00271,L,301.14,309.82,1633.0,42.26,108,0,0,0,0,0,0
272,M00272,L,301.24,308.19,1664.0,39.21,25,0,0,0,0,0,0
273,M00273,L,303.1,309.39,1293.0,46.41,107,0,0,0,0,0,0
274,M00274,M,302.55,312.46,1700.0,40.31,120,0,0,0,0,0,0
275,M00275,M,298.0,308.39,1347.0,31.51,199,0,0,0,0,0,0
276,M00276,L,303.37,307.21,1547.0,29.51,110,0,0,0,0,0,0
277,M00277,L,298.94,311.89,1546.0,32.48,233,1,0,0,0,0,1
278,M00278,M,302.09,310.98,1587.0,42.22,34,0,0,0,0,0,0
279,M00279,H,300.14,308.76,1561.0,39.73,13,0,0,0,0,0,0
280,M00280,H,299.18,306.84,1348.0,42.15,1,0,0,0,0,0,0
281,M00281,L,296.38,308.51,1257.0,45.01,89,0,0,0,0,0,0
282,M00282,L,299.66,309.89,1657.0,33.73,48,0,0,0,0,0,0
283,M00283,L,296.88,312.33,1533.0,54.66,22,0,0,1,0,0,1
284,M00284,L,301.93,307.93,1707.0,37.32,58,0,0,0,0,0,0
285,M00285,M,303.03,309.83,1492.0,35.67,243,1,0,0,0,0,1
286,M00286,L,298.41,311.35,1247.0,44.82,200,0,0,0,0,0,0
287,M00287,L,300.6,305.24,1674.0,21.63,4,0,0,0,0,0,0
288,M00288,L,298.55,312.07,1433.0,32.09,228,1,0,0,0,0,1
289,M00289,M,298.74,307.64,1562.0,49.81,51,0,0,0,0,0,0
290,M00290,L,301.55,310.66,1383.0,22.63,101,0,0,0,0,0,0
291,M00291,H,299.92,310.49,1796.0,51.18,81,0,0,1,0,0,1
292,M00292,L,303.48,312.17,1342.0,55.11,101,0,0,0,0,0,0
293,M00293,H,299.04,311.1,1439.0,36.31,190,0,0,0,0,0,0
294,M00294,L,302.0,305.25,1519.0,42.92,178,0,0,0,0,0,0
295,M00295,H,300.19,308.43,1303.0,51.19,148,0,0,0,0,0,0
296,M00296,H,301.59,310.28,1559.0,35.33,156,0,0,0,0,0,0
297,M00297,H,299.11,309.61,1790.0,48.68,181,0,0,1,0,0,1
298,M00298,H,299.9,310.96,1412.0,33.29,46,0,0,0,0,0,0
299,M00299,M,299.77,311.58,1571.0,35.22,98,0,0,0,0,0,0
300,M00300,M,298.33,311.22,1005.0,32.01,26,0,0,0,0,0,0
301,M00301,M,301.32,309.57,1493.0,43.43,176,0,0,0,0,0,0
302,M00302,L,301.3,306.31,1444.0,51.58,109,0,0,0,0,0,0
303,M00303,M,301.19,309.09,1353.0,38.16,159,0,0,0,0,0,0
304,M00304,M,303.07,310.83,1695.0,27.29,141,0,0,0,0,0,0
305,M00305,H,302.9,307.82,1441.0,29.17,68,0,0,0,0,0,0
306,M00306,L,299.25,311.26,1468.0,43.95,34,0,0,0,0,0,0
307,M00307,L,300.75,311.82,1432.0,58.44,243,1,0,1,0,0,1
308,M00308,M,298.75,310.25,1155.0,43.94,73,0,0,0,0,0,0
309,M00309,L,300.05,303.87,1296.0,36.13,27,0,0,0,0,0,0
310,M00310,L,298.8,307.44,1673.0,47.66,76,0,0,0,0,0,0
311,M00311,L,303.24,313.77,1120.0,37.61,225,1,1,0,0,0,1
312,M00312,L,300.73,308.91,1362.0,36.22,65,0,0,0,0,0,0
313,M00313,L,299.56,306.03,1428.0,30.42,246,1,0,0,0,0,1
314,M00314,L,302.39,312.47,1814.0,54.08,115,0,0,1,0,0,1
315,M00315,L,295.66,310.03,1638.0,14.61,215,0,0,0,0,0,0
316,M00316,L,295.97,312.21,1400.0,47.98,163,0,0,0,0,0,0
317,M00317,L,301.59,310.55,1735.0,35.36,10,0,0,0,0,0,0
318,M00318,M,300.12,310.92,1367.0,35.9,127,0,0,0,0,0,0
319,M00319,L,300.5,310.73,1682.0,56.92,104,0,0,1,0,0,1
320,M00320,H,297.35,311.39,1255.0,32.86,50,0,0,0,0,0,0
321,M00321,H,299.95,314.55,1693.0,33.2,137,0,0,0,0,0,0
322,M00322,L,304.01,311.94,1427.0,38.7,25,0,0,0,0,0,0
323,M00323,L,301.65,306.84,1315.0,44.14,174,0,0,0,0,0,0
324,M00324,M,300.34,310.89,1461.0,35.58,205,0,0,0,0,0,0
325,M00325,H,299.12,312.28,1550.0,24.26,23,0,0,0,0,0,0
326,M00326,M,299.21,312.41,1411.0,31.34,119,0,0,0,0,0,0
327,M00327,H,295.74,309.15,1600.0,52.81,163,0,0,1,0,0,1
328,M00328,M,300.52,312.33,1395.0,40.75,15,0,0,0,0,0,0
329,M00329,M,301.69,311.86,1612.0,44.51,97,0,0,0,0,0,0
330,M00330,L,296.85,315.15,1580.0,37.39,64,0,0,0,0,0,0
331,M00331,M,298.68,308.5,1489.0,33.41,9,0,0,0,0,0,0
332,M00332,L,297.69,308.99,1421.0,56.78,201,0,0,1,0,0,1
333,M00333,M,298.07,309.39,1527.0,38.12,111,0,0,0,0,0,0
334,M00334,H,300.11,309.02,1599.0,35.57,187,0,0,0,0,0,0
335,M00335,L,295.83,308.22,1871.0,50.96,146,0,0,1,0,0,1
336,M00336,M,301.23,304.47,1669.0,32.78,218,0,0,0,0,0,0
337,M00337,L,301.51,309.13,1676.0,34.05,249,1,0,0,0,0,1
338,M00338,M,299.5,310.74,2056.0,40.1,150,0,0,1,0,0,1
339,M00339,L,295.04,309.01,1593.0,40.0,88,0,0,0,0,0,0
340,M00340,H,298.01,313.87,1587.0,42.6,105,0,0,0,0,0,0
341,M00341,L,302.47,310.03,1627.0,60.92,206,0,0,1,1,0,1
342,M00342,H,294.44,312.58,1318.0,43.36,106,0,0,0,0,0,0
343,M00343,H,299.3,310.52,1420.0,16.22,129,0,0,0,0,0,0
344,M00344,M,297.64,311.65,1409.0,43.26,48,0,0,0,0,0,0
345,M00345,M,301.61,310.56,1617.0,40.38,247,1,0,0,0,0,1
346,M00346,M,298.65,312.74,1469.0,40.43,162,0,0,0,0,0,0
347,M00347,H,300.81,310.11,1525.0,42.46,82,0,0,0,0,0,0
348,M00348,L,301.13,310.99,1696.0,39.71,146,0,0,0,0,0,0
349,M00349,M,303.67,310.73,1655.0,39.47,100,0,0,0,0,0,0
350,M00350,L,299.59,309.42,1471.0,46.13,38,0,0,0,0,0,0
351,M00351,M,300.75,310.81,1379.0,34.58,218,0,0,0,0,0,0
352,M00352,L,297.03,314.47,1704.0,30.52,221,1,0,0,0,0,1
353,M00353,M,302.38,309.46,1639.0,70.24,208,0,0,1,1,0,1
354,M00354,M,298.48,310.84,1211.0,32.84,92,0,0,0,0,0,0
